Tipo;Indicadores;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Status
Liquidez;Liquid. corrente;1.126302494;1.128084281;1.155916106;1.199222889;1.169102296;1.067265795;1.271034816;1.190051967;1.604723819;1.25208706;1.252105852;1.252105852;1.252105852;1.252105852;1.252105852;CAGR_BOM
Liquidez;Liquid. imediata;0.078307547;0.165788744;0.305104867;0.304839279;0.38796103;0.386165577;0.404255319;0.187082405;0.593976506;0.216383423;0.455385762;0.455385762;0.455385762;0.455385762;0.455385762;CAGR_BOM
Liquidez;Capital de giro;400;462;394;564;486;247;1121;1024;4839;3382;3934.874897;4578.131418;5326.544764;6197.305524;7210.414528;CAGR_BOM
Liquidez;P / Cap. de Giro;4.429285714;5.25974026;3.52832165;2.45314777;0.794813706;9.443411851;13.64897195;33.73212642;15.96208438;48.32125961;52.96438939;58.05367175;63.63197692;69.74629451;76.44812927;CAGR_BOM
Liquidez;P / AC Líq.;0.620348139;0.857445307;0.868306515;0.82160056;0.251320404;1.126278478;3.488485536;5.798505532;6.440467466;10.81408814;11.85398484;12.99301951;14.24150261;15.6099509;17.10989168;CAGR_BOM
Liquidez;Giro dos Ativos;1.316177978;1.353283898;1.720560153;1.848582231;1.606657122;1.536770648;1.615312037;1.772396544;1.004800162;1.183795188;1.183987339;1.183987339;1.183987339;1.183987339;1.183987339;CAGR_BOM
Liquidez;PME;106.4421053;74.71434124;77.31502146;74.78408129;76.11814346;87.23959915;84.60730485;91.52266353;95.47585822;98.52334118;97.46086009;96.40983685;95.3701479;94.34167102;93.32428528;CAGR_BOM
Liquidez;PMR;108.0729086;98.81800391;23.52941176;22.75079251;17.44263756;21.99831721;37.27970628;47.36112893;52.77079352;58.74353086;58.74353086;58.74353086;58.74353086;58.74353086;58.74353086;CAGR_BOM
Liquidez;PMP;100.6325217;96.58181818;98.92809587;88.14013959;108.5732484;124.6214673;120.0822763;124.2475198;139.4139529;128.6784678;134.6641072;133.2645453;131.8789872;130.5073039;129.1493675;CAGR_RUIM
Liquidez;CICLO OPER.;214.5150138;173.5323451;100.8444332;97.5348738;93.56078102;109.2379164;121.8870111;138.8837925;148.2466517;157.266872;156.204391;155.1533677;154.1136788;153.0852019;152.0678161;CAGR_BOM
Liquidez;CICLO DE CX;113.8824921;76.95052697;1.916337352;9.394734209;-15.01246739;-15.38355092;1.80473481;14.6362727;8.832698861;28.58840423;21.54028371;21.88882241;22.23469161;22.57789801;22.91844865;CAGR_BOM
Dívida;Dívida bruta/PL;1.146774194;2.008130081;1.902017291;2.269230769;2.753776435;2.610169492;0.420164014;0.197654214;0.112109995;0.230170648;0.230233511;0.230233511;0.230233511;0.230233511;0.230233511;CAGR_BOM
Dívida;Dívida líq./Ebitda;1.53820598;2.632231405;1.150943396;1.401652893;1.522580645;0.601398601;-0.451275487;-0.255692392;-1.515784342;-0.738258983;-2.674808304;-2.670707704;-2.670004359;-2.671908476;-2.675602323;CAGR_BOM
Dívida;EF;0.534184823;0.667567568;0.655412115;0.694117647;0.73360161;0.723004695;0.295855978;0.165034458;0.100808369;0.18710465;0.187146187;0.187146187;0.187146187;0.187146187;0.187146187;CAGR_BOM
Dívida;ECP;0.181434599;0.256680162;0.321969697;0.34541204;0.311574328;0.453463203;0.498277842;0.285714286;0.010613208;0.988730724;0.988730724;0.988730724;0.988730724;0.988730724;0.988730724;CAGR_RUIM
Fluxo_de_Caixa;FCI/LL;-20.76923077;18.16666667;0.456896552;-1.160305344;-0.923076923;-1.551724138;-0.429667519;-0.657762938;-1.005417118;-1.65648855;-1.681090389;-1.767529752;-1.948168982;-2.304233501;-3.087393271;CAGR_RUIM
Fluxo_de_Caixa;CAPEX/LL;16.15384615;-29;1.25862069;1.152671756;-2.415384615;1.425287356;0.427109974;0.607679466;0.564463705;1.381679389;1.412037522;1.49505867;1.659412887;1.976471934;2.6668123;CAGR_RUIM
Fluxo_de_Caixa;CAPEX/FCO;-0.798479087;-2.71875;-1.073529412;1.152671756;0.33982684;0.464419476;8.789473684;0.294498382;-0.156503454;0.208605455;0.182402956;0.159491699;0.139458277;0.121941212;0.106624429;CAGR_RUIM
Indicadores_Ec_Fin;Margem bruta;0.334008413;0.32863666;0.28166235;0.275386031;0.287257741;0.307320151;0.300901202;0.291019885;0.279291964;0.257737259;0.249645394;0.241465314;0.233196059;0.224836655;0.21638612;CAGR_RUIM
Indicadores_Ec_Fin;Margem Oper.;0.033338526;0.019439008;0.046368233;0.050311893;0.03787035;0.061106437;0.074098798;0.069403464;0.064819471;0.028275697;0.026302598;0.024078124;0.021605663;0.018888478;0.015929708;CAGR_RUIM
Indicadores_Ec_Fin;Margem líquida;0.002025238;-0.000782779;0.014305093;0.013396053;-0.00723992;0.009150189;0.032626836;0.038422065;0.046414563;0.013469514;0.012457006;0.011119939;0.009469061;0.007514005;0.005263449;CAGR_BOM
Indicadores_Ec_Fin;LPA;0.07;-0.03;0.63;0.73;-2.97;3.96;2.05;3.14;0.57;0.06;0.053179587;0.045495205;0.037128044;0.028235699;0.018955246;CAGR_RUIM
Indicadores_Ec_Fin;P/L;136.2857143;-405;11.98412698;10.56164384;-5.942760943;26.81060606;39.13170732;57.6656051;83.68421053;415.8333333;492.836941;605.1461122;778.9354435;1075.926625;1683.563292;CAGR_BOM
Indicadores_Ec_Fin;VPA;3.338461538;3.075;3.769137931;4.201679389;30.24830769;32.2262069;10.86867008;12.06724541;4.671159263;1.118320611;1.071469156;1.02686089;0.984109791;0.94313854;0.903873038;CAGR_RUIM
Indicadores_Ec_Fin;P/VP;2.857603687;3.951219512;2.003110562;1.83498056;0.583503718;3.294523626;7.380847835;15.00508143;10.21159787;22.31023891;24.46068072;26.81107714;29.38732022;32.2111113;35.30623695;CAGR_BOM
Indicadores_Ec_Fin;P/EBIT;0.044579439;0.081543624;0.020079787;0.015670732;0.051911765;0.182736661;0.090337838;0.167347505;0.037005431;0.030242424;0.029352939;0.028949958;0.029128849;0.030082525;0.032205036;CAGR_RUIM
Indicadores_Ec_Fin;P/EBITDA;0.031694352;0.050206612;0.015828092;0.012743802;0.037956989;0.14848951;0.045195156;0.083721919;0.018515471;0.015135219;0.013622807;0.01228063;0.011084768;0.010015129;0.009054758;CAGR_RUIM
Indicadores_Ec_Fin;P/Ativos;0.363279534;0.429025424;0.294962599;0.261545433;0.069126604;0.377003835;2.062339609;3.926977882;3.902810687;6.630522985;7.268821366;7.967273378;8.732838776;9.571966401;10.49172476;CAGR_BOM
Indicadores_Ec_Fin;Ebitda;301;242;477;605;465;715;1774.969;2162.755;2576.224;1648.473;1923.896048;2241.843192;2609.017229;3033.364959;3524.374131;CAGR_BOM
Indicadores_Ec_Fin;Margem Ebitda;0.046892039;0.031572081;0.058823529;0.061867267;0.051793272;0.075199832;0.148111565;0.138727069;0.129549633;0.056499057;0.056673971;0.056760988;0.05677594;0.056735479;0.056657152;CAGR_BOM
Indicadores_Ec_Fin;PSR;0.27601095;0.31702544;0.171434052;0.141484338;0.043025113;0.245322121;1.276743788;2.215631652;3.884166062;5.601072763;6.139272884;6.729187986;7.375787297;8.084517532;8.861348775;CAGR_BOM
Indicadores_Ec_Fin;ROE;0.020967742;-0.009756098;0.167146974;0.173740053;-0.098187311;0.122881356;0.188615533;0.260208514;0.122025383;0.053651877;0.049632401;0.04430513;0.037727543;0.029938019;0.020971137;CAGR_BOM
Indicadores_Ec_Fin;ROA;2.665573098;-1.059322034;24.61277318;24.7637051;-11.63206872;14.06174236;52.70252056;68.09913597;46.63736042;15.94514545;14.74893775;13.16586725;11.21124844;8.896486229;6.231856447;CAGR_BOM
Indicadores_Ec_Fin;ROIC;0.063652588;0.039860888;0.164120471;0.186504928;0.131834044;0.241580042;0.314002829;0.293782243;0.141586116;0.062297063;0.057967438;0.053064992;0.047616016;0.041627701;0.035106964;CAGR_RUIM
Indicadores_Ec_Fin;EV/EBIT;6.115487316;12.03355705;2.237124282;1.088567769;-0.946236879;3.274565796;16.32826302;31.41284423;56.89334858;196.6127273;227.6459825;273.1772573;334.3658164;419.9875403;546.761859;CAGR_BOM
Indicadores_Ec_Fin;EV/EBITDA;4.347887992;7.409090909;1.763435493;0.8852485;-0.691872126;2.660870947;8.168873688;15.71546359;28.46628489;98.39742598;105.6513388;115.8823381;127.2404346;139.8230112;153.7274019;CAGR_BOM
Indicadores_Ec_Fin;Valorização;-0.4;0.273584906;-0.378600823;0.021192053;1.28923476;5.01529745;-0.244419327;1.257167789;-0.736565969;-0.476939203;0.050455508;0.050455508;0.050455508;0.050455508;0.050455508;CAGR_RUIM
Indicadores_Ec_Fin;Negócios diário;1.495;1.323;2.542;2.58;1.912;816;3.766;6.779;15.909;49.944;70.9361371;100.7515527;143.0987897;203.2451419;288.6718175;CAGR_BOM
Indicadores_Ec_Fin;Volume diário;9;6;7;7;3;7;78;189;320;882;1395.054559;2206.550139;3490.088244;5520.253419;8731.354534;CAGR_BOM
Indicadores_Ec_Fin;Valor de Mercado;1771714286;2430000000;1390158730;1383575342;386279461.3;2332522727;15300497561;34541697452;77240526316;1.63E+11;2.08E+11;2.66E+11;3.39E+11;4.32E+11;5.51E+11;CAGR_BOM
Indicadores_Ec_Fin;Valor da Firma;1308714286;1793000000;841158730.2;535575342.5;-321720538.7;1902522727;14499497561;33988697452;73335526316;1.62E+11;2.03E+11;2.60E+11;3.32E+11;4.24E+11;5.42E+11;CAGR_BOM
